Název;Kontinent;Zkratka;Státní zřízení;Hlavní město;Počet obyvatel;Rozloha (km2)
Abcházie;Asie;GE;republika;Suchumi;240705;8665
Afghánistán;Asie;AF;republika;Kábul;25500100;647500
Albánie;Evropa;AL;republika;Tirana;2821977;28450
Alžírsko;Afrika;DZ;republika;Alžír;37800000;2381740
Andorra;Evropa;AD;konstituční monarchie;Andorra la Vella;76246;468
Angola;Afrika;AO;republika;Luanda;20609294;1246700
Antigua a Barbuda;Severní Amerika;AG;konstituční monarchie;Saint John's;86295;442
Argentina;Jižní Amerika;AR;republika;Buenos Aires;40117096;2766890
Arménie;Asie;AM;republika;Jerevan;3031200;29743
Austrálie;Oceánie;AU;konstituční monarchie;Canberra;22967335;7686850
Ázerbájdžán;Asie;AZ;republika;Baku;9235100;86600
Bahamy;Severní Amerika;BS;konstituční monarchie;Nassau;351461;13940
Bahrajn;Asie;BH;konstituční monarchie;Manáma;1234571;665
Bangladéš;Asie;BD;republika;Dháka;157914687;144000
Barbados;Severní Amerika;BB;konstituční monarchie;Bridgetown;274200;430
Belgie;Evropa;BE;konstituční monarchie;Brusel;11149625;32545
Belize;Severní Amerika;BZ;konstituční monarchie;Belmopan;312971;22966
Bělorusko;Evropa;BY;republika;Minsk;9461800;207600
Benin;Afrika;BJ;republika;Porto Novo;9607000;112620
Bhútán;Asie;BT;konstituční monarchie;Thimbú;733180;47000
Bolívie;Jižní Amerika;BO;republika;Sucre;10389913;1098580
Bosna a Hercegovina;Evropa;BA;republika;Sarajevo;3839737;51129
Botswana;Afrika;BW;republika;Gaborone;2024904;600370
Brazílie;Jižní Amerika;BR;republika;Brasília;204259812;8511965
Brunej;Asie;BN;absolutní monarchie;Bandar Seri Begawan;393162;5770
Bulharsko;Evropa;BG;republika;Sofie;7050034;110910
Burkina Faso;Afrika;BF;republika;Ouagadougou;15730977;274200
Burundi;Afrika;BI;republika;Bujumbura;8053574;27830
Čad;Afrika;TD;republika;N'Djamena;11274106;1284000
Černá Hora;Evropa;ME;republika;Podgorica;620029;13812
Česko;Evropa;CZ;republika;Praha;10553843;78867
Čína;Asie;CN;republika;Peking;1389928972;9596960
Chile;Jižní Amerika;CL;republika;Santiago de Chile;16634603;756950
Chorvatsko;Evropa;HR;republika;Záhřeb;4290612;56542
Dánsko;Evropa;DK;konstituční monarchie;Kodaň;5602628;43094
Demokratická republika Kongo;Afrika;CG;republika;Kinshasa;71420000;2345410
Dominika;Severní Amerika;DM;republika;Roseau;71293;754
Dominikánská republika;Severní Amerika;DO;republika;Santo Domingo;9445281;48730
Džibutsko;Afrika;DJ;republika;Džíbútí;818159;22000
Egypt;Afrika;EG;republika;Káhira;83661000;1001450
Ekvádor;Jižní Amerika;EC;republika;Quito;15467000;283560
Eritrea;Afrika;ER;republika;Asmara;5748000;121320
Estonsko;Evropa;EE;republika;Tallinn;1286540;45226
Etiopie;Afrika;ET;republika;Addis Abeba;84320987;1127127
Fidži;Oceánie;FO;republika;Suva;858038;18270
Filipíny;Asie;PH;republika;Manila;92337852;300000
Finsko;Evropa;FI;republika;Helsinky;5433730;337030
Francie;Evropa;FR;republika;Paříž;65605000;547030
Gabon;Afrika;GA;republika;Libreville;1594000;267667
Gambie;Afrika;GM;republika;Banjul;1874000;11300
Ghana;Afrika;GH;republika;Accra;24658823;238540
Grenada;Severní Amerika;GD;konstituční monarchie;Saint George's;103328;340
Gruzie;Asie;GE;republika;Tbilisi;4497600;69700
Guatemala;Severní Amerika;GT;republika;Ciudad de Guatemala;15438384;108890
Guinea;Afrika;GN;republika;Conakry;10824200;245857
Guinea-Bissau;Afrika;GW;republika;Bissau;1520830;36120
Guyana;Jižní Amerika;GY;republika;Georgetown;784894;214970
Haiti;Severní Amerika;HT;republika;Port-au-Prince;10413211;27750
Honduras;Severní Amerika;HN;republika;Tegucigalpa;8385072;112090
Indie;Asie;IN;republika;Nové Dillí;1346062748;3287590
Indonésie;Asie;ID;republika;Jakarta;255993674;1904556
Irák;Asie;IQ;republika;Bagdád;33330000;437072
Irsko;Evropa;IE;republika;Dublin;4585400;70273
Island;Evropa;IS;republika;Reykjavík;321857;103000
Itálie;Evropa;IT;republika;Řím;59499534;301338
Izrael;Asie;IL;republika;Jeruzalém;8002300;20770
Írán;Asie;IR;republika;Teherán;77337000;1873959
Jamajka;Severní Amerika;JM;konstituční monarchie;Kingston;2709300;10990
Japonsko;Asie;JP;konstituční monarchie;Tokio;126919659;377835
Jemen;Asie;YE;republika;San'á;24527000;527970
Jihoafrická republika;Afrika;ZA;republika;Pretoria;51770560;1219912
Jižní Korea;Asie;KR;republika;Soul;50924172;100210
Jižní Súdán;Afrika;SS;republika;Džuba;8260490;619745
Jordánsko;Asie;JO;konstituční monarchie;Ammán;6284000;92300
Kambodža;Asie;KH;konstituční monarchie;Phnompenh;13395682;181040
Kamerun;Afrika;CM;republika;Yaoundé;19406100;475440
Kanada;Severní Amerika;CA;konstituční monarchie;Ottawa;35056064;9976140
Kapverdy;Afrika;CV;republika;Praia;491875;4033
Katar;Asie;QA;absolutní monarchie;Dauhá;1917116;11437
Kazachstán;Evropa;KZ;republika;Asie;16934000;2724900
Keňa;Afrika;KE;republika;Nairobi;38610097;582650
Kiribati;Oceánie;KI;republika;Bairiki;104573;717
Kolumbie;Jižní Amerika;CO;republika;Bogotá;47010000;1138910
Komory;Afrika;KM;republika;Moroni;724300;2170
Kosovo;Evropa;XK;republika;Priština;1827231;10905
Kostarika;Severní Amerika;CR;republika;San José;4667096;51100
Kuba;Severní Amerika;CU;republika;Havana;11163934;100860
Kuvajt;Asie;KW;konstituční monarchie;Kuvajt;3582054;17820
Kypr;Asie;CY;republika;Nikósie;862000;9250
Kyrgyzstán;Asie;KG;republika;Biškek;5551900;198500
Laos;Asie;LA;republika;Vientiane;6580800;236800
Lesotho;Afrika;LS;konstituční monarchie;Maseru;2240000;30355
Libanon;Asie;LB;republika;Bejrút;4324000;10452
Libérie;Afrika;LR;republika;Monrovia;3476608;111370
Libye;Afrika;LY;dočasná vláda;Tripolis;6506000;1759540
Lichtenštejnsko;Evropa;LI;konstituční monarchie;Vaduz;36842;160
Litva;Evropa;LT;republika;Vilnius;2972949;65200
Lotyšsko;Evropa;LV;republika;Riga;2027000;64589
Lucembursko;Evropa;LU;konstituční monarchie;Lucemburk;524900;2586
Madagaskar;Afrika;MG;republika;Antananarivo;20696070;587040
Maďarsko;Evropa;HU;republika;Budapešť;9957731;93030
Makedonie;Evropa;MK;republika;Skopje;2059794;25333
Malajsie;Asie;MY;konstituční monarchie;Kuala Lumpur;29680000;329750
Malawi;Afrika;MW;republika;Lilongwe;14388600;118480
Maledivy;Asie;MV;republika;Male;328536;300
Mali;Afrika;ML;republika;Bamako;14528662;1240000
Malta;Evropa;MT;republika;Valletta;416055;316
Maroko;Afrika;MA;konstituční monarchie;Rabat;32877400;446550
Marshallovy ostrovy;Oceánie;MH;republika;Majuro;55548;181
Mauricius;Afrika;MQ;republika;Port Louis;1257900;1860
Mauritánie;Afrika;MR;republika;Nuakšott;3461041;1030700
Mexiko;Severní Amerika;YT;republika;Ciudad de México;128632004;1972550
Moldavsko;Evropa;MD;republika;Kišiněv;3559500;33843
Monako;Evropa;MC;konstituční monarchie;Monaco-Ville;35352;2
Mongolsko;Asie;MN;republika;Ulánbátar;2736800;1565000
Mosambik;Afrika;MZ;republika;Maputo;23700715;801590
Namibie;Afrika;NA;republika;Windhoek;2104900;825418
Nauru;Oceánie;NR;republika;Yaren;9945;21
Německo;Evropa;DE;republika;Berlín;81993000;357021
Nepál;Asie;NP;republika;Káthmándú;26494504;140800
Niger;Afrika;NE;republika;Niamey;16274738;1267000
Nigérie;Afrika;NG;republika;Abuja;181562056;923768
Nikaragua;Severní Amerika;NI;republika;Managua;6071045;129494
Nizozemsko;Evropa;NL;konstituční monarchie;Amsterdam;16778806;41848
Norsko;Evropa;NO;konstituční monarchie;Oslo;5051275;324220
Nový Zéland;Oceánie;NZ;konstituční monarchie;Wellington;4464300;268680
Omán;Asie;OM;absolutní monarchie;Maskat;2773479;309500
Pákistán;Asie;PK;republika;Islámábád;199085847;803940
Palau;Oceánie;PW;republika;Ngerulmud;20770;458
Panama;Severní Amerika;PA;republika;Ciudad de Panamá;3405813;78200
Papua-Nová Guinea;Oceánie;PG;konstituční monarchie;Port Moresby;7059629;462840
Paraguay;Jižní Amerika;PY;republika;Asunción;6561785;406750
Peru;Jižní Amerika;PE;republika;Lima;30475144;1285220
Pobřeží slonoviny;Afrika;CI;republika;Yamoussoukro;21395000;322460
Polsko;Evropa;PL;republika;Varšava;38533789;322575
Portugalsko;Evropa;PT;republika;Lisabon;10562178;92391
Rakousko;Evropa;AT;republika;Vídeň;8488511;83858
Republika Kongo;Afrika;CG;republika;Brazzaville;4324000;342000
Rovníková Guinea;Afrika;GQ;republika;Malabo;761000;28051
Rumunsko;Evropa;RO;republika;Bukurešť;19043767;237500
Rusko;Evropa;RU;republika;Asie;142423773;17075200
Rwanda;Afrika;RW;republika;Kigali;10537222;26338
Řecko;Evropa;GR;republika;Athény;10815197;131940
Salvador;Severní Amerika;SV;republika;San Salvador;6183000;21040
Samoa;Oceánie;WS;republika;Apia;187820;2860
San Marino;Evropa;SM;republika;San Marino;32480;61
Saúdská Arábie;Asie;SA;absolutní monarchie;Rijád;29195895;2218000
Senegal;Afrika;SN;republika;Dakar;13567338;196190
Severní Korea;Asie;KP;republika;Pchjongjang;24052231;120540
Seychely;Afrika;SC;republika;Victoria;90945;455
Sierra Leone;Afrika;SL;republika;Freetown;6255000;71740
Singapur;Asie;SG;republika;Singapur;5312400;692
Slovensko;Evropa;SK;republika;Bratislava;5412008;49035
Slovinsko;Evropa;SI;republika;Lublaň;2059509;20253
Somálsko;Afrika;SO;republika;Mogadišu;10053000;637657
Spojené arabské emiráty;Asie;AE;konstituční monarchie;Abú Zabí;8264070;82880
Spojené státy americké;Severní Amerika;US;republika;Washington, D. C.;327252890;9629091
Srbsko;Evropa;RS;republika;Bělehrad;7189705;88361
Srí Lanka;Asie;LK;republika;Šrí Džajavardanapura Kotte;20277597;65610
Středoafrická republika;Afrika;CF;republika;Bangui;4667000;622984
Súdán;Afrika;SD;republika;Chartúm;30894000;1886068
Surinam;Jižní Amerika;SR;republika;Paramaribo;534189;163270
Svatá Lucie;Severní Amerika;LC;konstituční monarchie;Castries;166526;620
Svatý Kryštof a Nevis;Severní Amerika;KN;konstituční monarchie;Basseterre;51970;261
Svatý Tomáš a Princův ostrov;Afrika;ST;republika;S?o Tomé;187356;1001
Svatý Vincenc a Grenadiny;Severní Amerika;VC;konstituční monarchie;Kingstown;100892;389
Svazijsko;Afrika;SZ;absolutní monarchie;Mbabane;1237000;17363
Sýrie;Asie;SY;republika;Damašek;22058000;185180
Šalamounovy ostrovy;Oceánie;SB;konstituční monarchie;Honiara;642000;29785
Švédsko;Evropa;SE;konstituční monarchie;Stockholm;9566945;449964
Švýcarsko;Evropa;CH;republika;Bern;8014000;41290
Španělsko;Evropa;ES;konstituční monarchie;Madrid;47265321;504782
Tádžikistán;Asie;TJ;republika;Dušanbe;7800000;143100
Tanzanie;Afrika;TZ;republika;Dodoma;44928923;948087
Tchaj-wan;Asie;TW;republika;Tchaj-pej;23508428;35980
Thajsko;Asie;TH;konstituční monarchie;Bangkok;65926261;514000
Togo;Afrika;TG;republika;Lomé;6191155;56785
Tonga;Oceánie;TO;konstituční monarchie;Nuku'alofa;103036;748
Trinidad a Tobago;Severní Amerika;TT;republika;Port of Spain;1328019;5128
Tunisko;Afrika;TN;republika;Tunis;10777500;163610
Turecko;Evropa;TR;republika;Asie;77695904;780580
Turkmenistán;Asie;TM;republika;Ašchabad;5235000;488100
Tuvalu;Oceánie;TV;konstituční monarchie;Vaiaku;11264;26
Uganda;Afrika;UG;republika;Kampala;34131400;236040
Ukrajina;Evropa;UA;republika;Kyjev;45539121;603700
Uruguay;Jižní Amerika;UY;republika;Montevideo;3286314;176220
Uzbekistán;Asie;UZ;republika;Taškent;29559100;447400
Vanuatu;Oceánie;VU;republika;Port Vila;258213;12200
Vatikán;Evropa;VA;absolutní monarchie;Vatikán;836;1
Velká Británie;Evropa;GB;konstituční monarchie;Londýn;63181775;244820
Venezuela;Jižní Amerika;VE;republika;Caracas;28946101;912050
Vietnam;Asie;VN;republika;Hanoj;88780000;331212
Východní Timor;Asie;TL;republika;Dili;1066409;14874
Zambie;Afrika;ZM;republika;Lusaka;13092666;752614
Zimbabwe;Afrika;ZW;republika;Harare;12973808;390580
